"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
"TGFB3_TGFBR1_TGFBR2","TGFb","Tgfb3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb3  - (Tgfbr1+Tgfbr2)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Tgfbr1, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB3_ACVR1B_TGFBR2","TGFb","Tgfb3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1b+Tgfbr2)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Acvr1b, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB3_ACVR1C_TGFBR2","TGFb","Tgfb3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1c+Tgfbr2)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Acvr1c, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB3_ACVR1_TGFBR1","TGFb","Tgfb3","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb3  - (Acvr1+Tgfbr1)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Acvr1, Tgfbr1, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP2_BMPR1A_ACVR2A","BMP","Bmp2","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2a)",FALSE,"Bmp2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor",FALSE,"Bmpr1a, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP2_BMPR1A_ACVR2B","BMP","Bmp2","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2b)",FALSE,"Bmp2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor",FALSE,"Bmpr1a, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP2_BMPR1A_BMPR2","BMP","Bmp2","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Bmpr2)",FALSE,"Bmp2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor",FALSE,"Bmpr1a, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP2_BMPR1B_ACVR2A","BMP","Bmp2","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Acvr2a)",FALSE,"Bmp2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor",FALSE,"Bmpr1b, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP2_BMPR1B_ACVR2B","BMP","Bmp2","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Acvr2b)",FALSE,"Bmp2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor",FALSE,"Bmpr1b, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP2_BMPR1B_BMPR2","BMP","Bmp2","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Bmpr2)",FALSE,"Bmp2","TGF-beta","Secreted","Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism","cytokine;growth factor",FALSE,"Bmpr1b, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP4_BMPR1A_ACVR2A","BMP","Bmp4","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1a+Acvr2a)",FALSE,"Bmp4","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis","cytokine;growth factor",FALSE,"Bmpr1a, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP4_BMPR1A_ACVR2B","BMP","Bmp4","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1a+Acvr2b)",FALSE,"Bmp4","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis","cytokine;growth factor",FALSE,"Bmpr1a, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP4_BMPR1A_BMPR2","BMP","Bmp4","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1a+Bmpr2)",FALSE,"Bmp4","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis","cytokine;growth factor",FALSE,"Bmpr1a, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP4_BMPR1B_ACVR2A","BMP","Bmp4","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1b+Acvr2a)",FALSE,"Bmp4","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis","cytokine;growth factor",FALSE,"Bmpr1b, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP4_BMPR1B_ACVR2B","BMP","Bmp4","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1b+Acvr2b)",FALSE,"Bmp4","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis","cytokine;growth factor",FALSE,"Bmpr1b, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP4_BMPR1B_BMPR2","BMP","Bmp4","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1b+Bmpr2)",FALSE,"Bmp4","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis","cytokine;growth factor",FALSE,"Bmpr1b, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_ACVR1_ACVR2A","BMP","Bmp5","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Acvr2a)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Acvr1, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disulfide bond, Alternative splicing","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_ACVR1_ACVR2B","BMP","Bmp5","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Acvr2b)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Acvr1, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disulfide bond, Alternative splicing, Heterotaxy, Cell membrane","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_ACVR1_BMPR2","BMP","Bmp5","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Bmpr2)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Acvr1, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_BMPR1A_ACVR2A","BMP","Bmp5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Acvr2a)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Bmpr1a, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_BMPR1A_ACVR2B","BMP","Bmp5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Acvr2b)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Bmpr1a, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_BMPR1A_BMPR2","BMP","Bmp5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Bmpr2)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Bmpr1a, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_BMPR1B_ACVR2A","BMP","Bmp5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Acvr2a)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Bmpr1b, Acvr2a","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_BMPR1B_ACVR2B","BMP","Bmp5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Acvr2b)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Bmpr1b, Acvr2b","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"BMP5_BMPR1B_BMPR2","BMP","Bmp5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Bmpr2)",FALSE,"Bmp5","TGF-beta","Secreted","Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Growth factor, Cleavage on pair of basic residues, Osteogenesis, Alternative splicing, Chondrogenesis, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Bmpr1b, Bmpr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
